,MATNO,GENDER,N FAIL,C FAIL,FAILED COURSES,TMC 211,PHY 232,MAT 213,MAT 212,GST 211,EDS 211,ECN 111,DLD 111,CSC 216,CSC 214,CSC 213,CSC 211,CIT 211,TOT WTS,TOT UNIT,GPA,PRE WTS,PRE UNIT,CUMWTS,CUMUNIT,CGPA,STAND,CLASS
60,6d9199fca8eaa42f88dbd6dd1cfc314d,F,1.0,0.0,TMC212 (0V),92.0,56.0,,72.0,49.0,63.0,67.0,70.0,70.0,73.0,58.0,64.0,64.0,112.0,28.0,4.0,194.0,51.0,306.0,79.0,3.87,GS,2|1
61,ca1e5e09d982d5247d5271553dc6e884,M,2.0,3.0,PHY232 (3C); TMC212 (0V),82.0,32.0,,68.0,56.0,69.0,56.0,65.0,72.0,64.0,68.0,60.0,53.0,87.0,25.0,3.48,210.0,51.0,297.0,76.0,3.91,GS,2|1
62,d8b05301bfd0e666eb9a5dc43d4742ea,M,2.0,0.0,CIT141 (0C); TMC212 (0V),86.0,75.0,,84.0,57.0,72.0,64.0,72.0,67.0,79.0,74.0,70.0,52.0,115.0,25.0,4.6,231.0,51.0,346.0,76.0,4.55,GS,1st
63,b3d4d2693e4ed25a5f96c617a0341d80,M,1.0,0.0,TMC212 (0V),66.0,57.0,,69.0,47.0,57.0,70.0,59.0,59.0,76.0,69.0,60.0,53.0,95.0,25.0,3.8,198.0,51.0,293.0,76.0,3.86,GS,2|1
64,bcdd4bb24e693571124bc4143efe9805,M,8.0,13.0,"CIT141 (0C); CSC216 (3C); EDS211 (1V); MAT114 (2C); MAT212 (3C);
PHY232 (3C); TMC211 (1V);
TMC212 (0V)",41.0,36.0,,31.0,48.0,39.0,60.0,48.0,42.0,66.0,70.0,57.0,46.0,61.0,30.0,2.03,192.0,51.0,253.0,81.0,3.12,GS,2|2
65,6d65f0b8a0275869a2dac753f0ea1517,M,2.0,2.0,MAT122 (2C); TMC212 (0V),72.0,66.0,,67.0,46.0,66.0,67.0,63.0,68.0,72.0,73.0,57.0,55.0,100.0,25.0,4.0,199.0,51.0,299.0,76.0,3.93,GS,2|1
66,f669a29f3700781785522cb2d36e228e,M,2.0,2.0,GST211 (2U); TMC212 (0V),76.0,47.0,,51.0,32.0,76.0,63.0,62.0,54.0,50.0,69.0,61.0,64.0,79.0,25.0,3.16,208.0,51.0,287.0,76.0,3.78,GS,2|1
67,d56e762d365230f1f0974e624b5cdf66,F,1.0,0.0,TMC212 (0V),91.0,90.0,,87.0,68.0,62.0,,76.0,88.0,87.0,85.0,84.0,49.0,122.0,25.0,4.88,251.0,51.0,373.0,76.0,4.91,GS,1st
68,3333bdb56355ecc726b64194b93e95bf,M,5.0,11.0,"CSC231 (3E); MAT122 (2C); MAT212 (3C); PHY232 (3C);
TMC212 (0V)",72.0,31.0,,16.0,46.0,65.0,,57.0,57.0,58.0,47.0,45.0,60.0,43.0,25.0,1.72,167.0,51.0,210.0,76.0,2.76,GS,2|2
69,7af53667bbd5c9aaf57baac91811540f,M,2.0,2.0,MAT122 (2C); TMC212 (0V),56.0,47.0,,53.0,51.0,66.0,52.0,65.0,61.0,60.0,47.0,54.0,56.0,76.0,25.0,3.04,187.0,51.0,263.0,76.0,3.46,GS,2|2
70,4ba61c54b184dc72bd25409f5423f4b4,M,1.0,0.0,TMC212 (0V),87.0,66.0,,78.0,47.0,61.0,,62.0,72.0,78.0,74.0,68.0,64.0,109.0,25.0,4.36,192.0,51.0,301.0,76.0,3.96,GS,2|1
71,c0e56a780fe6441645e40f17b37f3ef6,M,,,,,,,,,,,,,,,,,,,,,,,,,,
72,802248e61df8011fe5b375f30bdd444a,M,1.0,0.0,TMC212 (0V),94.0,82.0,,88.0,64.0,72.0,53.0,73.0,83.0,86.0,72.0,73.0,64.0,117.0,25.0,4.68,249.0,51.0,366.0,76.0,4.82,GS,1st
73,7d54ada7b3fc26f8f37a8a77e5d71e69,M,1.0,0.0,TMC212 (0V),76.0,50.0,,72.0,54.0,65.0,53.0,62.0,57.0,77.0,67.0,63.0,54.0,102.0,27.0,3.78,211.0,51.0,313.0,78.0,4.01,GS,2|1
74,936418ad7f2bc589984bb4f8c4c3a099,M,6.0,15.0,"CSC125 (3C); CSC213 (3C);
CSC214 (3C); CSC216 (3C); PHY121 (3C); TMC212 (0V)",56.0,46.0,,45.0,47.0,65.0,,61.0,34.0,0.0,0.0,48.0,56.0,38.0,25.0,1.52,138.0,51.0,176.0,76.0,2.32,GS,3rd
75,08aa9f6715d30b329dcbf5c12e745f41,F,1.0,0.0,TMC212 (0V),82.0,77.0,,86.0,55.0,75.0,68.0,69.0,66.0,87.0,86.0,73.0,71.0,115.0,25.0,4.6,242.0,51.0,357.0,76.0,4.7,GS,1st
76,4f8e950f17f2009b463029f7bf0479d3,F,1.0,0.0,TMC212 (0V),63.0,72.0,,78.0,46.0,67.0,,77.0,79.0,81.0,80.0,67.0,64.0,114.0,25.0,4.56,245.0,51.0,359.0,76.0,4.72,GS,1st
77,626d67ff94913372c1936f539f9faa5a,M,1.0,0.0,TMC212 (0V),74.0,72.0,,78.0,54.0,69.0,68.0,70.0,75.0,84.0,70.0,68.0,60.0,114.0,25.0,4.56,237.0,51.0,351.0,76.0,4.62,GS,1st
78,d3b69def9bb00ea02d4b0967674009a9,F,1.0,0.0,TMC212 (0V),92.0,67.0,,80.0,65.0,69.0,79.0,64.0,77.0,66.0,67.0,67.0,65.0,110.0,25.0,4.4,224.0,51.0,334.0,76.0,4.39,GS,2|1
79,c9e193aae0ac01c6a9d7daaa77c9f7e0,M,2.0,3.0,CSC231 (3E); TMC212 (0V),71.0,62.0,,79.0,50.0,67.0,,51.0,47.0,66.0,57.0,63.0,48.0,81.0,25.0,3.24,205.0,51.0,286.0,76.0,3.76,GS,2|1
80,83cde23fabc277d3d598572387aac247,M,11.0,21.0,"BIO112 (2C); CHM111 (3C); CHM119 (1C); CIT141 (0C); CSC211 (3C);
CSC213 (3C); MAT111 (3C); MAT114
(2C); MAT212 (3C); PHY119 (1C); TMC212 (0V)",54.0,,,22.0,46.0,66.0,,,,,0.0,14.0,56.0,11.0,25.0,0.44,131.0,51.0,142.0,76.0,1.87,NGS,3rd
