,antecedents,consequents,support,confidence,lift
0,CSC312_A,EDS311_A,0.3125,1.0,1.4545454545454541
1,CSC310_F,BUS313_F,0.21875000000000003,1.0,2.285714285714285
2,BUS313_C,CIT310_A,0.28125,0.9,1.309090909090909
3,CSC317_C,CIT310_A,0.375,0.8571428571428571,1.246753246753246
4,MIS316_B,CIT310_A,0.34375000000000006,0.846153846153846,1.23076923076923
5,CSC313_A,EDS311_A,0.3125,0.833333333333333,1.212121212121212
6,CSC310_C,CIT310_A,0.28125,0.818181818181818,1.190082644628099
7,BFN311_C,EDS311_A,0.28125,0.818181818181818,1.190082644628099
8,BFN311_C,CIT310_A,0.28125,0.818181818181818,1.190082644628099
9,CSC312_A,CIT310_A,0.25,0.8,1.1636363636363631
10,GST311_C,CIT310_A,0.34375000000000006,0.785714285714285,1.142857142857142
11,BFN311_F,BUS313_F,0.21875000000000003,0.777777777777777,1.7777777777777781
12,TMC311_A,EDS311_A,0.40625000000000006,0.764705882352941,1.112299465240641
13,CSC312_C,EDS311_A,0.28125,0.75,1.09090909090909
14,CSC313_A,TMC311_A,0.28125,0.75,1.411764705882353
15,CSC310_C,CSC317_C,0.25,0.7272727272727271,1.662337662337662
16,CSC310_C,EDS311_A,0.25,0.7272727272727271,1.057851239669421
17,CSC310_C,GST311_C,0.25,0.7272727272727271,1.662337662337662
18,GST311_C,EDS311_A,0.3125,0.7142857142857141,1.038961038961039
19,TMC311_A,CIT310_A,0.375,0.7058823529411761,1.026737967914438
20,BUS313_C,TMC311_A,0.21875000000000003,0.7000000000000001,1.317647058823529
21,BUS313_C,EDS311_A,0.21875000000000003,0.7000000000000001,1.018181818181818
22,CSC312_A,CSC313_A,0.21875000000000003,0.7000000000000001,1.866666666666666
23,BUS313_C,CSC317_C,0.21875000000000003,0.7000000000000001,1.5999999999999992
24,CSC312_A,TMC311_A,0.21875000000000003,0.7000000000000001,1.317647058823529
